Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,20.9791687502218,20.127494905812
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,54.2990764910062,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,21.7264294987761,18.8413979684695
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,50.5585276931977,54.8184931411381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,47.3088591421652,46.6696129860707
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,33.4548958825786,37.4495994213844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,38.9929061011015,40.1099326212275
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,44.4545789045455,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,19.2371202113606,22.0389569588439
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,18.1693265265636,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,40.207095532907,35.0420493356393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,25.2760949743129,20.2879496621221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,10.780822594633,10.5576734343188
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,41.4548165613247,39.9185126725089
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,188.339507002291,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,83.7553158559384,81.5297406120423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,46.0467623881339,43.6728526585664
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,19.9278285988562,18.664264897257
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,21.0027464972455,18.5915277970883
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,30.2177517344562,23.4838671400313
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,40.8026420265318,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,122.784715063326,127.879646181738
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,29.8939141012579,29.2984786508394
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,31.3535542007886,31.6024197276206
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,38.5638482851901,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,18.3149455985223,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,35.1277586384661,36.6710473276752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,37.6252184252873,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,12.541975333359,11.4279966637126
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,10.7554752851711,18.5576587301587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,41.7132908430894,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,29.0534647196644,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,57.4954949230184,53.2934327816685
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,31.6017300051143,35.2341542041409
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,61.4589417496788,59.8140791420221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,20.7545211582482,20.6977589568458
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,48.809449806788,44.9168728023816
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,39.6135044170514,42.8351172865323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,75.2054048902229,77.3117026146611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,197.501337465788,204.320817651215
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,82.5299193561036,82.522613516486
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,60.3751373173263,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,31.5360236543653,28.4244012428345
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,68.554971419686,65.2777668428576
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,70.1131851868006,69.4265505006682
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,24.5223744016967,25.705291132007
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,162.796350797429,166.788241969181
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,39.8470252400147,37.1875758049707
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,36.5862504012937,41.5798195551278
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,46.0962669509066,44.0717583009834
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,39.2575517289021,38.8212851623816
